DateTime_WF_NY_2020,WaterFlux
05/30/2020 00:01,491.842734453095
05/30/2020 00:16,359.345557095001
05/30/2020 00:31,369.648901052641
05/30/2020 00:46,258.638029184643
05/30/2020 01:01,295.170969085402
05/30/2020 01:16,222.198928322234
05/30/2020 01:31,169.657709877303
05/30/2020 01:46,138.048905346638
05/30/2020 02:01,73.9012353658439
05/30/2020 02:16,9.52586914840554
05/30/2020 02:31,-33.3789451969514
05/30/2020 02:46,-76.1500624270928
05/30/2020 03:01,-118.665127710743
05/30/2020 03:16,-171.401102490464
05/30/2020 03:31,-191.84572750458
05/30/2020 03:46,-232.973502127424
05/30/2020 04:01,-262.980806395507
05/30/2020 04:16,-292.390771325119
05/30/2020 04:31,-321.134572323671
05/30/2020 04:46,-359.288968573093
05/30/2020 05:01,-376.253782462775
05/30/2020 05:16,-392.641935997869
05/30/2020 05:31,-398.59079095117
05/30/2020 05:46,-413.955912297313
05/30/2020 06:01,-399.829410179282
05/30/2020 06:16,-395.532695033646
05/30/2020 06:31,-372.402874078329
05/30/2020 06:46,-359.189794612895
05/30/2020 07:01,-318.535394643154
05/30/2020 07:16,-288.063411321728
05/30/2020 07:31,-249.162220458621
05/30/2020 07:46,-211.047285810867
05/30/2020 08:01,-155.51766819704
05/30/2020 08:16,-109.707111520274
05/30/2020 08:31,-64.29309154617
05/30/2020 08:46,-10.0527838527387
05/30/2020 09:01,44.2316878304209
05/30/2020 09:16,89.732603223983
05/30/2020 09:31,135.678171379903
05/30/2020 09:46,173.046943536003
05/30/2020 10:01,211.036540036422
05/30/2020 10:16,249.769315712434
05/30/2020 10:31,279.923032841641
05/30/2020 10:46,310.787077891638
05/30/2020 11:01,332.799601595443
05/30/2020 11:16,345.632061856005
05/30/2020 11:31,368.563936317364
05/30/2020 11:46,392.08661943922
05/30/2020 12:01,416.230699929398
05/30/2020 12:16,420.715206474781
05/30/2020 12:31,404.69442451638
05/30/2020 12:46,408.761458412235
05/30/2020 13:01,391.935746838604
05/30/2020 13:16,364.014225513074
05/30/2020 13:31,335.31355167416
05/30/2020 13:46,295.24205622498
05/30/2020 14:01,265.067482817801
05/30/2020 14:16,202.078745590129
05/30/2020 14:31,127.549259336191
05/30/2020 14:46,84.791687838948
05/30/2020 15:01,20.3013274551887
05/30/2020 15:16,-22.7082848205474
05/30/2020 15:31,-87.0428365452121
05/30/2020 15:46,-118.920063158247
05/30/2020 16:01,-182.387905279027
05/30/2020 16:16,-234.439013178794
05/30/2020 16:31,-275.117007372292
05/30/2020 16:46,-283.78688385951
05/30/2020 17:01,-323.196563177508
05/30/2020 17:16,-341.187244827126
05/30/2020 17:31,-368.785085781452
05/30/2020 17:46,-375.496968907242
05/30/2020 18:01,-401.76050596446
05/30/2020 18:16,-397.670551108602
05/30/2020 18:31,-412.989789393017
05/30/2020 18:46,-398.886228805849
05/30/2020 19:01,-385.093939926841
05/30/2020 19:16,-362.20146796912
05/30/2020 19:31,-339.880558248019
05/30/2020 19:46,-308.859954220837
05/30/2020 20:01,-269.39739735705
05/30/2020 20:16,-221.653764884707
05/30/2020 20:31,-165.667579200581
05/30/2020 20:46,-110.41724157611
05/30/2020 21:01,-55.6274536409231
05/30/2020 21:16,-1.0229170246492
05/30/2020 21:31,44.5431574035347
05/30/2020 21:46,90.3627051702107
05/30/2020 22:01,127.414277513196
05/30/2020 22:16,183.476243746809
05/30/2020 22:31,221.840265406009
05/30/2020 22:46,260.978054948622
05/30/2020 23:01,301.011967205924
05/30/2020 23:16,332.443879385556
05/30/2020 23:31,354.980936216253
05/30/2020 23:46,387.917909695968
05/31/2020 00:01,421.794626405114
05/31/2020 00:16,446.613347990292
05/31/2020 00:31,451.762299394736
05/31/2020 00:46,456.911250799182
05/31/2020 01:01,451.654614412636
05/31/2020 01:16,435.556787660691
05/31/2020 01:31,429.431781696293
05/31/2020 01:46,401.593519781265
05/31/2020 02:01,372.907280760261
05/31/2020 02:16,321.748739235121
05/31/2020 02:31,291.303392551545
05/31/2020 02:46,249.308790128756
05/31/2020 03:01,217.644449775406
05/31/2020 03:16,163.495061622999
05/31/2020 03:31,130.912803072094
05/31/2020 03:46,75.9729496713802
05/31/2020 04:01,42.9214073042687
05/31/2020 04:16,20.8498505357483
05/31/2020 04:31,-23.3221326371071
05/31/2020 04:46,-78.3981731139955
05/31/2020 05:01,-144.100136953555
05/31/2020 05:16,-209.112135795189
05/31/2020 05:31,-262.342884980969
05/31/2020 05:46,-314.590813897562
05/31/2020 06:01,-355.029740021462
05/31/2020 06:16,-394.417307795582
05/31/2020 06:31,-432.631162388641
05/31/2020 06:46,-428.334447243006
05/31/2020 07:01,-434.244493287536
05/31/2020 07:16,-409.531420190588
05/31/2020 07:31,-385.420498038081
05/31/2020 07:46,-351.949675302399
05/31/2020 08:01,-309.397085924899
05/31/2020 08:16,-277.557117464575
05/31/2020 08:31,-246.337429873587
05/31/2020 08:46,-196.265103537036
05/31/2020 09:01,-166.248314823938
05/31/2020 09:16,-126.953481927184
05/31/2020 09:31,-88.016663336318
05/31/2020 09:46,-49.315504220065
05/31/2020 10:01,8.56428667981848
05/31/2020 10:16,37.550336928981
05/31/2020 10:31,76.3471846896475
05/31/2020 10:46,115.428381008622
05/31/2020 11:01,135.343947801877
05/31/2020 11:16,155.483258761803
05/31/2020 11:31,185.757384236317
05/31/2020 11:46,216.489480792112
05/31/2020 12:01,247.748373021786
05/31/2020 12:16,279.602885517928
05/31/2020 12:31,312.121842873133
05/31/2020 12:46,345.374069679991
05/31/2020 13:01,379.428390531095
05/31/2020 13:16,393.384412780003
05/31/2020 13:31,418.217312220105
05/31/2020 13:46,432.975428513258
05/31/2020 14:01,426.453055859217
05/31/2020 14:16,408.740271758833
05/31/2020 14:31,357.565576343787
05/31/2020 14:46,316.211617713192
05/31/2020 15:01,274.012517547614
05/31/2020 15:16,197.763246465849
05/31/2020 15:31,142.910891057609
05/31/2020 15:46,87.6266281819274
05/31/2020 16:01,9.86298864915502
05/31/2020 16:16,-45.6548985681186
05/31/2020 16:31,-89.8965363205492
05/31/2020 16:46,-133.851533418681
05/31/2020 17:01,-188.363915798882
05/31/2020 17:16,-242.161129103315
05/31/2020 17:31,-273.414923215017
05/31/2020 17:46,-304.071377988254
05/31/2020 18:01,-355.367361855471
05/31/2020 18:16,-373.699044385064
05/31/2020 18:31,-401.936126120604
05/31/2020 18:46,-439.611842755849
05/31/2020 19:01,-465.754141480776
05/31/2020 19:16,-470.671457532173
05/31/2020 19:31,-475.23416787267
